Wed, 08 Jan 2014 12:55:23 CET: class RSSThread, method run, First visit: http://newsfeed.zeit.de/wissen/index
Wed, 08 Jan 2014 12:55:26 CET: class RSSThread, method run, First visit: http://rss.cnn.com/rss/edition_technology.rss
Wed, 08 Jan 2014 14:59:46 CET: class RSSThread, method update, Start to read new sources
Wed, 08 Jan 2014 14:59:47 CET: class RSSThread, method update, Finish to read new sources
Wed, 08 Jan 2014 14:59:47 CET: class RSSThread, method update, Start to read new subscriptions
Wed, 08 Jan 2014 14:59:47 CET: class RSSThread, method update, Finish to read new subscriptions
Wed, 08 Jan 2014 14:59:47 CET: class RSSThread, method run, RSS Server started!
Wed, 08 Jan 2014 14:59:47 CET: class RSSThread, method run, First visit: http://www.faz.net/rss/aktuell/finanzen/
Wed, 08 Jan 2014 14:59:51 CET: class RSSThread, method run, Override interval with 5 minutes for Finanzen - FAZ.NET
Wed, 08 Jan 2014 14:59:51 CET: class RSSThread, method run, First visit: http://newsfeed.zeit.de/gesellschaft/index
Wed, 08 Jan 2014 14:59:53 CET: class RSSParser, method genItem, Invalid time format: null
Wed, 08 Jan 2014 14:59:56 CET: class RSSParser, method genItem, Invalid time format: null
Wed, 08 Jan 2014 14:59:57 CET: class RSSParser, method genItem, Invalid time format: null
Wed, 08 Jan 2014 14:59:58 CET: class RSSThread, method run, First visit: http://www.faz.net/rss/aktuell/sport/
Wed, 08 Jan 2014 15:00:09 CET: class RSSThread, method run, Override interval with 5 minutes for Sport - FAZ.NET
Wed, 08 Jan 2014 15:00:09 CET: class RSSThread, method run, First visit: http://www.spiegel.de/sport/index.rss
Wed, 08 Jan 2014 15:00:21 CET: class RSSThread, method run, First visit: http://feeds.washingtonpost.com/rss/sports
Wed, 08 Jan 2014 15:00:44 CET: class RSSThread, method run, Override interval with 5 minutes for Sports: Sports News, Scores, Analysis, Schedules & More - The Washington Post
Wed, 08 Jan 2014 15:00:44 CET: class RSSThread, method run, First visit: http://www.faz.net/rss/aktuell/gesellschaft/
Wed, 08 Jan 2014 15:00:50 CET: class RSSThread, method run, Override interval with 5 minutes for Gesellschaft - FAZ.NET
Wed, 08 Jan 2014 15:00:50 CET: class RSSThread, method run, First visit: http://newsfeed.zeit.de/wissen/index
Wed, 08 Jan 2014 15:00:56 CET: class RSSThread, method run, First visit: http://rss.cnn.com/rss/edition_technology.rss
Wed, 08 Jan 2014 15:01:28 CET: class RSSThread, method run, Override interval with 10 minutes for CNN.com - Technology
Wed, 08 Jan 2014 15:01:28 CET: class RSSThread, method run, First visit: http://feeds.washingtonpost.com/rss/politics
